PassengerId,final_value,status,source_strategy,evidence,validation_method,public_lb_effect,notes
0023_01,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
0094_01,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
0175_05,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
0495_01,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
0495_03,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
0535_01,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
0720_02,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
0495_02,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
0861_01,True,locked,contrastive_feedback,feedback_contrastive_miner,add_back_probe,positive,early positive feedback gain
0908_01,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
1072_02,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
1111_02,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
1124_03,True,locked,local_residual_mining,local_residual_miner,add_back_probe,positive,documented residual route gain
1183_02,True,locked,family_boundary_split,family_europa_cp_split,split_probe,positive,documented final chain correction
1207_04,True,locked,refit_mixed_batch,batch_refit_mixed_f2t2_t2f3,batch_split_probe,positive,documented refit mixed batch member
1301_02,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
1354_02,True,locked,micro_rule_support,nospend_young_group_support,single_row_probe,positive_or_locked,final strategy correction
1471_01,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
1471_03,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
1471_04,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
1471_05,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
1492_02,True,locked,local_residual_mining,local_residual_miner,add_back_probe,positive,documented residual route gain
1679_01,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
1793_02,True,locked,local_residual_mining,local_residual_miner,add_back_probe,positive,documented residual route gain
1820_01,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
2017_01,True,locked,micro_rule_support,nospend_age_support,single_row_probe,positive_or_locked,final strategy correction
2057_01,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
2057_04,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
2230_01,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
2236_01,True,locked,post_leaf_consensus,post_leaf_consensus_next1,single_row_probe,positive,documented 0.81482 anchor gain
2425_06,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
2430_02,True,locked,tree_leaf_rule,tree_leaf_03_cryo_nospend,single_row_probe,positive,documented 0.81552 anchor gain
2577_02,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
2630_02,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
2775_01,True,locked,local_residual_mining,local_residual_miner,add_back_probe,positive,documented residual route gain
2868_01,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
3008_04,True,locked,tree_leaf_rule,tree_leaf07_split_probe,single_row_probe,positive,documented tree leaf07 accepted row
3035_01,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
3129_01,True,locked,post_leaf_consensus,consensus_single_row_probe,single_row_probe,positive,documented positive signal
3362_01,True,locked,local_residual_mining,local_residual_miner,add_back_probe,positive,documented residual route gain
3393_01,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
3448_01,True,locked,micro_rule_support,nospend_age13_25_support,single_row_probe,positive_or_locked,final strategy correction
3581_01,True,locked,boundary_batch_pair,feedback_boundary_miner_pair_split,pair_split_probe,positive,documented boundary/batch gain
3589_02,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
3589_06,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
3589_07,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
3601_03,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
3601_05,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
3617_02,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
3659_02,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
3764_02,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
3844_01,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
4085_01,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
4122_01,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
4200_01,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
4263_01,True,locked,local_residual_mining,local_residual_miner,add_back_probe,positive,documented residual route gain
4385_01,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
4705_02,True,locked,local_residual_mining,local_residual_miner,add_back_probe,positive,documented residual route gain
4776_02,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
5043_03,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
5296_01,True,locked,family_pattern_mining,family_pattern_validated,remove_one_ablation,positive_locked,documented family route contribution
5308_03,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
5329_05,True,locked,boundary_batch_pair,feedback_boundary_miner_pair_split,pair_split_probe,positive,documented 3581+5329 pair gain
6291_01,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
6332_03,True,locked,micro_rule_support,cryo_nospend_family_support,single_row_probe,positive_or_locked,final strategy correction
6384_01,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
6504_02,True,locked,local_residual_mining,local_residual_miner,add_back_probe,positive,documented residual route gain
6612_05,True,locked,local_residual_mining,local_residual_miner,add_back_probe,positive,documented residual route gain
6752_02,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
6986_08,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
7363_01,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
7375_01,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
7413_02,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
7468_01,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
7597_01,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
7597_04,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
7927_01,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
7927_02,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
7927_03,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
8073_01,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
8111_01,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
8439_01,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
8455_01,True,locked,family_pattern_mining,family_pattern_validated,remove_one_ablation,positive_locked,documented family route contribution
8497_01,True,locked,tree_leaf_rule,tree_leaf_02_probe,single_row_probe,positive,documented positive signal
8543_05,True,locked,refit_mixed_batch,batch_refit_mixed_f2t2_t2f3,batch_split_probe,positive,documented refit mixed batch member
8632_02,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
8648_03,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
8665_01,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
8679_01,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
8689_01,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
8738_01,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
8792_01,True,locked,local_residual_mining,local_residual_miner,add_back_probe,positive,documented residual route gain
8846_02,True,locked,local_residual_mining,local_residual_miner,add_back_probe,positive,documented residual route gain
8879_01,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
8913_01,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
8916_01,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
8958_01,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
8990_01,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
9039_01,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
9050_01,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
9105_01,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
9109_01,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
9238_03,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
9238_05,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
0060_01,False,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
0325_01,False,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
0364_01,False,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
0469_01,False,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
0620_02,False,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
0620_03,False,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
0807_01,False,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
2057_05,False,locked,feedback_boundary_t2f,boundary_t2f_2057_05_false,single_row_probe,positive,documented boundary correction
3046_01,False,locked,feedback_boundary_t2f,boundary_t2f_3046_01_false,single_row_probe,positive,documented boundary correction
3075_01,False,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
3333_01,False,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
3411_01,False,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
4277_01,False,locked,feedback_boundary_t2f,boundary_t2f_4277_01_false,single_row_probe,positive,documented boundary correction
4683_02,False,locked,feedback_boundary_t2f,boundary_t2f_4683_02_false,controlled_ablation_add_back,positive,documented boundary correction
4935_03,False,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
5335_03,False,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
5553_02,False,locked,feedback_boundary_t2f,boundary_t2f_5553_02_false,controlled_ablation_add_back,positive,documented boundary correction
5830_01,False,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
6332_07,False,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
6607_01,False,locked,feedback_boundary_t2f,boundary_t2f_6607_01_false,single_row_probe,positive,documented boundary correction
6661_01,False,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
6689_02,False,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
6732_01,False,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
6737_01,False,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
7319_02,False,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
7726_01,False,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
8274_01,False,locked,refit_mixed_batch,batch_refit_t2f_support,batch_split_probe,positive_or_locked,final strategy correction
8367_01,False,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
8575_01,False,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
8630_01,False,locked,refit_mixed_batch,batch_refit_mixed_f2t2_t2f3,batch_split_probe,positive,documented refit mixed batch member
8711_01,False,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
8847_01,False,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
